Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
D1,LED_0603_1608Metric,19.8mm,5.8mm,19.8mm,5.8mm,20.5875mm,5.8mm,T,180,POWER
R1,R_0402_1005Metric,20.8mm,7.3mm,20.8mm,7.3mm,21.31mm,7.3mm,T,180,2K
R2,R_0402_1005Metric,18.8mm,7.3mm,18.8mm,7.3mm,19.31mm,7.3mm,T,180,NC
R3,R_0402_1005Metric,8.3mm,7.3mm,8.3mm,7.3mm,8.81mm,7.3mm,T,180,5.1K
R4,R_0402_1005Metric,8.3mm,17.3mm,8.3mm,17.3mm,7.79mm,17.3mm,T,0,5.1K
kibuzzard-63200097,kibuzzard-63200097,25.3mm,13.3mm,25.3mm,13.3mm,25.3mm,13.3mm,T,0,G***
kibuzzard-632000A0,kibuzzard-632000A0,25.3mm,11.3mm,25.3mm,11.3mm,25.3mm,11.3mm,T,0,G***
kibuzzard-632000A4,kibuzzard-632000A4,25.3mm,8.8mm,25.3mm,8.8mm,25.3mm,8.8mm,T,0,G***
kibuzzard-6320009C,kibuzzard-6320009C,25.3mm,15.8mm,25.3mm,15.8mm,25.3mm,15.8mm,T,0,G***
kibuzzard-631FFD2B,kibuzzard-631FFD2B,5.8mm,20.8mm,5.8mm,20.8mm,5.8mm,20.8mm,T,0,G***
kibuzzard-631FFD46,kibuzzard-631FFD46,4.8mm,3.8mm,4.8mm,3.8mm,4.8mm,3.8mm,T,0,G***
kibuzzard-631FFEA9,kibuzzard-631FFEA9,23.3mm,6.3mm,23.3mm,6.3mm,23.3mm,6.3mm,T,0,G***
kibuzzard-631FFF00,kibuzzard-631FFF00,12.25mm,12.3mm,12.25mm,12.3mm,12.25mm,12.3mm,T,-90,G***
kibuzzard-631FFF07,kibuzzard-631FFF07,28.8mm,12.3mm,28.8mm,12.3mm,28.8mm,12.3mm,T,90,G***
Through Hole Items ,,,,,,,,,,
H1,MountingHole_2.2mm_M2,32.3mm,22.3mm,32.3mm,22.3mm,32.3mm,22.3mm,T,0,MountingHole
H2,MountingHole_2.2mm_M2,2.3mm,12.3mm,2.3mm,12.3mm,2.3mm,12.3mm,T,0,MountingHole
H3,MountingHole_2.2mm_M2,32.3mm,2.3mm,32.3mm,2.3mm,32.3mm,2.3mm,T,0,MountingHole
J1,KINGHELM_KH-TYPE-C-L10-14P,8.3mm,12.3mm,8.3mm,12.3mm,7.6mm,9.05mm,T,90,UPSTREAM
SW1,SW_Push_DPDT_8.5x8.5mm,19.8mm,12.3mm,19.8mm,12.3mm,17.3mm,9.6mm,T,90,EN
J2,MOLEX_48258-0001,27.9mm,12.3mm,27.9mm,12.3mm,27.05mm,8.8mm,B,-90,DOWNSTREAM
