Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
D1,LED_0603_1608Metric,27.3mm,5.8mm,27.3mm,5.8mm,28.0875mm,5.8mm,T,180,POWER
R1,R_0402_1005Metric,28.3mm,7.3mm,28.3mm,7.3mm,28.81mm,7.3mm,T,180,22.1K
R2,R_0402_1005Metric,26.3mm,7.3mm,26.3mm,7.3mm,26.81mm,7.3mm,T,180,47.5K
R3,R_0402_1005Metric,9.8mm,7.3mm,9.8mm,7.3mm,10.31mm,7.3mm,T,180,5.1K
R4,R_0402_1005Metric,9.8mm,17.3mm,9.8mm,17.3mm,9.29mm,17.3mm,T,0,5.1K
Through Hole Items ,,,,,,,,,,
H1,MountingHole_2.2mm_M2,32.3mm,22.3mm,32.3mm,22.3mm,32.3mm,22.3mm,T,0,MountingHole
H2,MountingHole_2.2mm_M2,2.3mm,12.3mm,2.3mm,12.3mm,2.3mm,12.3mm,T,0,MountingHole
H3,MountingHole_2.2mm_M2,32.3mm,2.3mm,32.3mm,2.3mm,32.3mm,2.3mm,T,0,MountingHole
J1,KINGHELM_KH-TYPE-C-L10-14P,9.8mm,12.3mm,9.8mm,12.3mm,10.5mm,9.05mm,T,90,UPSTREAM
J2,CKMTW_USBAS04P,37.3mm,12.3mm,37.3mm,12.3mm,37.3mm,15.8mm,T,270,DOWNSTREAM
SW1,SW_Push_DPDT_8.5x8.5mm,27.3mm,12.3mm,27.3mm,12.3mm,24.8mm,9.6mm,T,90,EN
